"Order","State","Age","Respondents"
56,"Wyoming","Y12",42
47,"SouthDakota","Y12",54
40,"NorthDakota","Y12",56
7,"Alaska","Y12",110
14,"DistrictofColumbia","Y12",114
51,"Vermont","Y12",115
13,"Delaware","Y12",118
17,"Hawaii","Y12",136
32,"Montana","Y12",147
18,"Idaho","Y12",148
33,"Nebraska","Y12",149
45,"RhodeIsland","Y12",158
54,"WestVirginia","Y12",164
35,"NewHampshire","Y12",185
50,"Utah","Y12",208
25,"Maine","Y12",220
30,"Mississippi","Y12",225
9,"Arkansas","Y12",236
22,"Kansas","Y12",240
21,"Iowa","Y12",242
37,"NewMexico","Y12",243
24,"Louisiana","Y12",360
42,"Oklahoma","Y12",392
23,"Kentucky","Y12",425
6,"Alabama","Y12",434
12,"Connecticut","Y12",434
34,"Nevada","Y12",450
46,"SouthCarolina","Y12",450
29,"Minnesota","Y12",534
55,"Wisconsin","Y12",537
31,"Missouri","Y12",543
48,"Tennessee","Y12",578
26,"Maryland","Y12",644
52,"Virginia","Y12",654
20,"Indiana","Y12",700
43,"Oregon","Y12",712
8,"Arizona","Y12",765
36,"NewJersey","Y12",765
16,"Georgia","Y12",899
11,"Colorado","Y12",924
39,"NorthCarolina","Y12",927
27,"Massachusetts","Y12",1008
41,"Ohio","Y12",1146
44,"Pennsylvania","Y12",1196
53,"Washington","Y12",1235
19,"Illinois","Y12",1284
28,"Michigan","Y12",1312
49,"Texas","Y12",2054
38,"NewYork","Y12",2062
15,"Florida","Y12",2093
10,"California","Y12",5034
56,"Wyoming","Y12to17",4
47,"SouthDakota","Y12to17",5
40,"NorthDakota","Y12to17",3
7,"Alaska","Y12to17",6
14,"DistrictofColumbia","Y12to17",3
51,"Vermont","Y12to17",6
13,"Delaware","Y12to17",7
17,"Hawaii","Y12to17",7
32,"Montana","Y12to17",9
18,"Idaho","Y12to17",12
33,"Nebraska","Y12to17",13
45,"RhodeIsland","Y12to17",7
54,"WestVirginia","Y12to17",11
35,"NewHampshire","Y12to17",10
50,"Utah","Y12to17",19
25,"Maine","Y12to17",11
30,"Mississippi","Y12to17",16
9,"Arkansas","Y12to17",15
22,"Kansas","Y12to17",16
21,"Iowa","Y12to17",19
37,"NewMexico","Y12to17",19
24,"Louisiana","Y12to17",23
42,"Oklahoma","Y12to17",24
23,"Kentucky","Y12to17",24
6,"Alabama","Y12to17",26
12,"Connecticut","Y12to17",24
34,"Nevada","Y12to17",24
46,"SouthCarolina","Y12to17",31
29,"Minnesota","Y12to17",36
55,"Wisconsin","Y12to17",37
31,"Missouri","Y12to17",35
48,"Tennessee","Y12to17",35
26,"Maryland","Y12to17",37
52,"Virginia","Y12to17",44
20,"Indiana","Y12to17",46
43,"Oregon","Y12to17",34
8,"Arizona","Y12to17",43
36,"NewJersey","Y12to17",52
16,"Georgia","Y12to17",59
11,"Colorado","Y12to17",50
39,"NorthCarolina","Y12to17",65
27,"Massachusetts","Y12to17",53
41,"Ohio","Y12to17",71
44,"Pennsylvania","Y12to17",66
53,"Washington","Y12to17",61
19,"Illinois","Y12to17",82
28,"Michigan","Y12to17",67
49,"Texas","Y12to17",177
38,"NewYork","Y12to17",112
15,"Florida","Y12to17",114
10,"California","Y12to17",314
56,"Wyoming","Y18to25",11
47,"SouthDakota","Y18to25",15
40,"NorthDakota","Y18to25",17
7,"Alaska","Y18to25",22
14,"DistrictofColumbia","Y18to25",29
51,"Vermont","Y18to25",29
13,"Delaware","Y18to25",28
17,"Hawaii","Y18to25",25
32,"Montana","Y18to25",34
18,"Idaho","Y18to25",37
33,"Nebraska","Y18to25",48
45,"RhodeIsland","Y18to25",40
54,"WestVirginia","Y18to25",38
35,"NewHampshire","Y18to25",46
50,"Utah","Y18to25",67
25,"Maine","Y18to25",44
30,"Mississippi","Y18to25",61
9,"Arkansas","Y18to25",54
22,"Kansas","Y18to25",60
21,"Iowa","Y18to25",67
37,"NewMexico","Y18to25",55
24,"Louisiana","Y18to25",98
42,"Oklahoma","Y18to25",87
23,"Kentucky","Y18to25",91
6,"Alabama","Y18to25",104
12,"Connecticut","Y18to25",111
34,"Nevada","Y18to25",94
